ts_utc,datetime_utc,currency,impact,event
1705658400,2024-01-19 10:00,EUR,high,ECB's President Lagarde speech
1705671000,2024-01-19 13:30,CAD,medium,Retail Sales (MoM)
1705671000,2024-01-19 13:30,CAD,medium,Retail Sales ex Autos (MoM)
1705676400,2024-01-19 15:00,USD,medium,Existing Home Sales Change (MoM)
1705676400,2024-01-19 15:00,USD,medium,Michigan Consumer Expectations Index
1705676400,2024-01-19 15:00,USD,high,Michigan Consumer Sentiment Index
1705676400,2024-01-19 15:00,USD,medium,UoM 1-year Consumer Inflation Expectations
1705676400,2024-01-19 15:00,USD,medium,UoM 5-year Consumer Inflation Expectation
1705698900,2024-01-19 21:15,USD,medium,Fed's Daly speech
1705959000,2024-01-22 21:30,NZD,medium,Business NZ PSI
1705978800,2024-01-23 03:00,JPY,high,BoJ Monetary Policy Statement
1705978800,2024-01-23 03:00,JPY,medium,BoJ Outlook Report
1705979348,2024-01-23 03:09,JPY,high,BoJ Interest Rate Decision
1705989600,2024-01-23 06:00,JPY,high,BoJ Press Conference
1706000400,2024-01-23 09:00,EUR,high,ECB Bank Lending Survey
1706022000,2024-01-23 15:00,EUR,medium,Consumer Confidence
1706046300,2024-01-23 21:45,NZD,high,Consumer Price Index (QoQ)
1706046300,2024-01-23 21:45,NZD,high,Consumer Price Index (YoY)
1706047200,2024-01-23 22:00,AUD,medium,S&P Global Composite PMI
1706047200,2024-01-23 22:00,AUD,medium,S&P Global Manufacturing PMI
1706047200,2024-01-23 22:00,AUD,medium,S&P Global Services PMI
1706053800,2024-01-23 23:50,JPY,medium,Exports (YoY)
1706053800,2024-01-23 23:50,JPY,medium,Imports (YoY)
1706053800,2024-01-23 23:50,JPY,medium,Merchandise Trade Balance Total
1706084100,2024-01-24 08:15,EUR,medium,HCOB Composite PMI
1706084100,2024-01-24 08:15,EUR,medium,HCOB Manufacturing PMI
1706084100,2024-01-24 08:15,EUR,medium,HCOB Services PMI
1706085000,2024-01-24 08:30,EUR,high,HCOB Composite PMI
1706085000,2024-01-24 08:30,EUR,high,HCOB Manufacturing PMI
1706085000,2024-01-24 08:30,EUR,high,HCOB Services PMI
1706086800,2024-01-24 09:00,EUR,high,HCOB Composite PMI
1706086800,2024-01-24 09:00,EUR,high,HCOB Manufacturing PMI
1706086800,2024-01-24 09:00,EUR,high,HCOB Services PMI
1706088600,2024-01-24 09:30,GBP,high,S&P Global Composite PMI
1706088600,2024-01-24 09:30,GBP,high,S&P Global Manufacturing PMI
1706088600,2024-01-24 09:30,GBP,high,S&P Global Services PMI
1706107500,2024-01-24 14:45,CAD,high,BoC Interest Rate Decision
1706107500,2024-01-24 14:45,CAD,high,BoC Monetary Policy Statement
1706107500,2024-01-24 14:45,USD,medium,S&P Global Composite PMI
1706107500,2024-01-24 14:45,USD,high,S&P Global Manufacturing PMI
1706107500,2024-01-24 14:45,USD,high,S&P Global Services PMI
1706108400,2024-01-24 15:00,CAD,high,BoC Monetary Policy Report
1706110200,2024-01-24 15:30,CAD,high,BoC Press Conference
1706173200,2024-01-25 09:00,EUR,medium,IFO – Business Climate
1706173200,2024-01-25 09:00,EUR,medium,IFO – Current Assessment
1706173200,2024-01-25 09:00,EUR,medium,IFO – Expectations
1706188500,2024-01-25 13:15,EUR,high,ECB Main Refinancing Operations Rate
1706188500,2024-01-25 13:15,EUR,high,ECB Monetary Policy Statement
1706188500,2024-01-25 13:15,EUR,high,ECB Rate On Deposit Facility
1706189400,2024-01-25 13:30,USD,medium,Core Personal Consumption Expenditures (QoQ)
1706189400,2024-01-25 13:30,USD,medium,Durable Goods Orders
1706189400,2024-01-25 13:30,USD,medium,Durable Goods Orders ex Defense
1706189400,2024-01-25 13:30,USD,medium,Durable Goods Orders ex Transportation
1706189400,2024-01-25 13:30,USD,high,Gross Domestic Product Annualized
1706189400,2024-01-25 13:30,USD,medium,Gross Domestic Product Price Index
1706189400,2024-01-25 13:30,USD,medium,Initial Jobless Claims
1706189400,2024-01-25 13:30,USD,medium,Nondefense Capital Goods Orders ex Aircraft
1706189400,2024-01-25 13:30,USD,medium,Personal Consumption Expenditures Prices (QoQ)
1706190300,2024-01-25 13:45,EUR,high,ECB Press Conference
1706194800,2024-01-25 15:00,USD,medium,New Home Sales Change (MoM)
1706198400,2024-01-25 16:00,EUR,medium,ECB's President Lagarde speech
1706225400,2024-01-25 23:30,JPY,high,Tokyo Consumer Price Index (YoY)
1706225400,2024-01-25 23:30,JPY,high,"Tokyo CPI ex Food, Energy (YoY)"
1706225400,2024-01-25 23:30,JPY,medium,Tokyo CPI ex Fresh Food (YoY)
1706226600,2024-01-25 23:50,JPY,medium,BoJ Monetary Policy Meeting Minutes
1706227260,2024-01-26 00:01,GBP,medium,GfK Consumer Confidence
1706252400,2024-01-26 07:00,EUR,medium,GfK Consumer Confidence Survey
1706266800,2024-01-26 11:00,EUR,medium,German Buba Monthly Report
1706275800,2024-01-26 13:30,USD,high,Core Personal Consumption Expenditures - Price Index (MoM)
1706275800,2024-01-26 13:30,USD,high,Core Personal Consumption Expenditures - Price Index (YoY)
1706275800,2024-01-26 13:30,USD,medium,Personal Consumption Expenditures - Price Index (MoM)
1706275800,2024-01-26 13:30,USD,medium,Personal Consumption Expenditures - Price Index (YoY)
1706275800,2024-01-26 13:30,USD,medium,Personal Income (MoM)
1706275800,2024-01-26 13:30,USD,medium,Personal Spending
1706281200,2024-01-26 15:00,USD,medium,Pending Home Sales (MoM)
1706478300,2024-01-28 21:45,NZD,medium,Exports
1706478300,2024-01-28 21:45,NZD,medium,Imports
1706478300,2024-01-28 21:45,NZD,medium,Trade Balance NZD (YoY)
1706533800,2024-01-29 13:10,EUR,medium,ECB's De Guindos speech
1706571000,2024-01-29 23:30,JPY,medium,Unemployment Rate
1706574600,2024-01-30 00:30,AUD,high,Retail Sales s.a. (MoM)
1706596200,2024-01-30 06:30,EUR,medium,Gross Domestic Product (QoQ)
1706601600,2024-01-30 08:00,EUR,medium,Gross Domestic Product - Estimated (QoQ)
1706601600,2024-01-30 08:00,EUR,medium,Harmonized Index of Consumer Prices (YoY)
1706605200,2024-01-30 09:00,EUR,high,Gross Domestic Product (QoQ)
1706605200,2024-01-30 09:00,EUR,high,Gross Domestic Product (YoY)
1706605200,2024-01-30 09:00,EUR,medium,Gross Domestic Product w.d.a (YoY)
1706605200,2024-01-30 09:00,EUR,medium,ECB's Lane speech
1706605200,2024-01-30 09:00,EUR,medium,Gross Domestic Product (QoQ)
1706605200,2024-01-30 09:00,EUR,medium,Gross Domestic Product (YoY)
1706608800,2024-01-30 10:00,EUR,medium,Business Climate
1706608800,2024-01-30 10:00,EUR,medium,Consumer Confidence
1706608800,2024-01-30 10:00,EUR,medium,Economic Sentiment Indicator
1706608800,2024-01-30 10:00,EUR,high,Gross Domestic Product s.a. (QoQ)
1706608800,2024-01-30 10:00,EUR,high,Gross Domestic Product s.a. (YoY)
1706623200,2024-01-30 14:00,USD,medium,Housing Price Index (MoM)
1706626800,2024-01-30 15:00,USD,medium,Consumer Confidence
1706626800,2024-01-30 15:00,USD,medium,JOLTS Job Openings
1706628600,2024-01-30 15:30,EUR,medium,ECB's Nagel speech
1706658600,2024-01-30 23:50,JPY,medium,Large Retailer Sales
1706658600,2024-01-30 23:50,JPY,medium,Retail Trade (YoY)
1706658600,2024-01-30 23:50,JPY,medium,Retail Trade s.a (MoM)
1706661000,2024-01-31 00:30,AUD,high,Consumer Price Index (YoY)
1706661000,2024-01-31 00:30,AUD,high,Quarterly Consumer Price Index (QoQ)
1706661000,2024-01-31 00:30,AUD,medium,Quarterly Consumer Price Index (YoY)
1706661000,2024-01-31 00:30,AUD,high,Quarterly RBA Trimmed Mean CPI (QoQ)
1706661000,2024-01-31 00:30,AUD,high,Quarterly RBA Trimmed Mean CPI (YoY)
1706684400,2024-01-31 07:00,EUR,medium,Retail Sales (MoM)
1706684400,2024-01-31 07:00,EUR,high,Retail Sales (YoY)
1706686200,2024-01-31 07:30,CHF,medium,Real Retail Sales (YoY)
1706687100,2024-01-31 07:45,EUR,medium,Consumer Price Index (EU norm) (YoY)
1706691300,2024-01-31 08:55,EUR,medium,Unemployment Change
1706691300,2024-01-31 08:55,EUR,medium,Unemployment Rate s.a.
1706691600,2024-01-31 09:00,CHF,medium,ZEW Survey – Expectations
1706706000,2024-01-31 13:00,EUR,high,Consumer Price Index (MoM)
1706706000,2024-01-31 13:00,EUR,high,Consumer Price Index (YoY)
1706706000,2024-01-31 13:00,EUR,medium,Harmonized Index of Consumer Prices (MoM)
1706706000,2024-01-31 13:00,EUR,high,Harmonized Index of Consumer Prices (YoY)
1706706900,2024-01-31 13:15,USD,high,ADP Employment Change
1706707800,2024-01-31 13:30,CAD,medium,Gross Domestic Product (MoM)
1706707800,2024-01-31 13:30,USD,medium,Employment Cost Index
1706712300,2024-01-31 14:45,USD,medium,Chicago PMI
1706727600,2024-01-31 19:00,USD,high,Fed Interest Rate Decision
1706727600,2024-01-31 19:00,USD,high,Fed Monetary Policy Statement
1706729400,2024-01-31 19:30,USD,high,FOMC Press Conference
1706745600,2024-02-01 00:00,EUR,medium,EU leaders summit
1706747400,2024-02-01 00:30,AUD,medium,Building Permits (MoM)
1706747400,2024-02-01 00:30,AUD,medium,National Australia Bank's Business Confidence (QoQ)
1706774400,2024-02-01 08:00,USD,medium,OPEC Meeting
1706775300,2024-02-01 08:15,EUR,medium,HCOB Manufacturing PMI
1706777100,2024-02-01 08:45,EUR,medium,HCOB Manufacturing PMI
1706777700,2024-02-01 08:55,EUR,medium,HCOB Manufacturing PMI
1706781600,2024-02-01 10:00,EUR,high,Core Harmonized Index of Consumer Prices (MoM)
1706781600,2024-02-01 10:00,EUR,high,Core Harmonized Index of Consumer Prices (YoY)
1706781600,2024-02-01 10:00,EUR,high,Harmonized Index of Consumer Prices (MoM)
1706781600,2024-02-01 10:00,EUR,high,Harmonized Index of Consumer Prices (YoY)
1706781600,2024-02-01 10:00,EUR,medium,Unemployment Rate
1706781600,2024-02-01 10:00,EUR,medium,Consumer Price Index (EU Norm) (YoY)
1706781600,2024-02-01 10:00,EUR,medium,Consumer Price Index (YoY)
1706787000,2024-02-01 11:30,EUR,medium,ECB's Lane speech
1706788800,2024-02-01 12:00,GBP,high,BoE Interest Rate Decision
1706788800,2024-02-01 12:00,GBP,high,BoE Minutes
1706788800,2024-02-01 12:00,GBP,high,BoE Monetary Policy Report
1706788800,2024-02-01 12:00,GBP,high,BoE Monetary Policy Summary
1706788800,2024-02-01 12:00,GBP,high,BoE MPC Vote Rate Cut
1706788800,2024-02-01 12:00,GBP,high,BoE MPC Vote Rate Hike
1706788800,2024-02-01 12:00,GBP,high,BoE MPC Vote Rate Unchanged
1706790600,2024-02-01 12:30,GBP,high,BoE's Governor Bailey speech
1706790600,2024-02-01 12:30,USD,medium,Challenger Job Cuts
1706794200,2024-02-01 13:30,USD,medium,Initial Jobless Claims
1706794200,2024-02-01 13:30,USD,medium,Nonfarm Productivity
1706794200,2024-02-01 13:30,USD,medium,Unit Labor Costs
1706797800,2024-02-01 14:30,CAD,medium,S&P Global Manufacturing PMI
1706799600,2024-02-01 15:00,USD,medium,ISM Manufacturing Employment Index
1706799600,2024-02-01 15:00,USD,medium,ISM Manufacturing New Orders Index
1706799600,2024-02-01 15:00,USD,high,ISM Manufacturing PMI
1706799600,2024-02-01 15:00,USD,medium,ISM Manufacturing Prices Paid
1706821200,2024-02-01 21:00,NZD,medium,ANZ – Roy Morgan Consumer Confidence
1706823900,2024-02-01 21:45,NZD,medium,Building Permits s.a. (MoM)
1706833800,2024-02-02 00:30,AUD,medium,Producer Price Index (YoY)
1706876100,2024-02-02 12:15,GBP,medium,BoE's Pill speech
1706880600,2024-02-02 13:30,USD,high,Average Hourly Earnings (MoM)
1706880600,2024-02-02 13:30,USD,high,Average Hourly Earnings (YoY)
1706880600,2024-02-02 13:30,USD,medium,Labor Force Participation Rate
1706880600,2024-02-02 13:30,USD,high,Nonfarm Payrolls
1706880600,2024-02-02 13:30,USD,medium,U6 Underemployment Rate
1706880600,2024-02-02 13:30,USD,medium,Unemployment Rate
1706886000,2024-02-02 15:00,USD,medium,Factory Orders (MoM)
1706886000,2024-02-02 15:00,USD,medium,Michigan Consumer Expectations Index
1706886000,2024-02-02 15:00,USD,medium,Michigan Consumer Sentiment Index
1706886000,2024-02-02 15:00,USD,medium,UoM 1-year Consumer Inflation Expectations
